,Name,Team,Nation_Ranking,League_Ranking,Age,MP,Goals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,Market_Value
1352,Giorgos Kyriakopoulos,Sassuolo,2,2,27,12,1,1.53,0.08,35.3,76.7,17.4,5.18,54.3,0.12,2.71,3.06,0.35,0.94,3.76,0.82,1.41,36.7,0.59,4.35,35.0,1.0
1353,C sar de la Hoz,Almer a,5,4,30,11,1,0.42,0.25,25.2,81.6,11.2,3.68,68.6,0.0,3.26,1.16,0.21,1.26,2.63,1.58,1.47,17.8,0.0,4.74,43.5,1.0
1354,Luca de la Torre,Celta Vigo,3,4,24,11,0,0.77,0.0,33.8,84.1,20.3,1.79,58.3,0.51,3.59,2.05,0.77,1.54,3.08,1.28,0.26,35.1,0.0,7.18,0.0,1.0
1356,Ga tan Laborde,Nice,5,1,28,18,6,2.26,0.17,15.0,64.2,9.35,0.58,31.0,0.06,0.9,2.19,0.26,0.58,1.61,1.03,0.71,23.2,0.58,2.84,48.6,1.0
1358,Alexandre Lacazette,Lyon,5,1,31,22,13,2.85,0.15,20.3,70.0,10.8,1.26,52.9,0.19,1.92,3.64,0.33,0.84,2.1,0.7,0.19,30.1,0.51,2.76,45.5,1.0
1360,Maxence Lacroix,Wolfsburg,5,3,22,15,1,0.27,0.33,51.8,85.8,12.7,6.58,62.4,0.0,3.24,0.54,0.0,0.45,2.43,1.35,5.05,41.3,0.0,4.59,65.4,1.0
1363,Konrad Laimer,RB Leipzig,3,3,25,9,0,1.07,0.0,28.8,77.7,15.7,2.13,51.6,0.0,3.07,2.8,0.27,1.73,4.27,1.87,0.8,28.3,0.4,6.67,12.5,1.0
1364,Stefan Lainer,M'Gladbach,3,3,30,7,0,1.05,0.0,47.9,77.8,30.0,1.05,40.0,0.0,1.05,0.53,0.0,1.05,3.68,0.0,7.37,41.1,0.53,7.89,75.0,1.0
1366,Adam Lallana,Brighton,5,5,34,16,2,1.0,0.25,32.8,82.6,21.6,0.75,66.7,0.13,2.88,2.75,0.25,0.5,1.38,0.75,0.13,25.8,0.5,3.13,47.1,1.0
1367,Vassilis Lambropoulos,Bochum,2,3,32,10,0,0.95,0.0,23.7,67.7,7.46,2.22,30.4,0.0,1.59,0.63,0.0,1.11,2.86,0.63,5.24,17.8,0.0,4.92,52.0,1.0
1368, rik Lamela,Sevilla,5,4,30,18,3,2.15,0.1,30.3,76.9,17.6,1.63,71.0,0.0,1.78,4.0,0.3,0.96,2.0,1.04,0.0,34.1,1.56,4.3,27.6,1.0
1371,Sam Lammers,Empoli,5,2,25,14,1,2.86,0.04,14.6,62.2,9.59,0.1,20.0,0.1,1.33,2.55,0.1,1.02,2.35,0.41,0.82,19.7,0.61,2.76,52.9,1.0
1372,Tariq Lamptey,Brighton,2,5,22,18,0,0.67,0.0,46.4,78.6,25.1,0.89,20.0,0.0,2.67,2.67,0.0,1.33,3.78,1.11,0.44,45.3,1.33,6.22,25.0,1.0
1375,Julien Laporte,Lorient,5,1,29,18,0,0.35,0.0,36.3,85.0,10.3,5.26,61.6,0.0,2.81,0.53,0.0,0.88,2.28,1.7,6.32,37.9,0.0,3.39,60.4,1.0
1378,Yasser Larouci,Troyes,3,1,22,19,1,0.55,0.14,32.7,76.9,18.0,1.17,37.5,0.0,2.27,1.8,0.0,0.63,2.34,0.78,1.88,39.5,0.78,7.03,73.7,1.0
1379,Jordan Larsson,Schalke 04,2,3,25,11,0,1.96,0.0,17.1,74.4,9.61,0.78,40.0,0.0,1.37,2.16,0.0,0.98,2.35,1.76,0.59,17.8,0.2,4.51,35.3,1.0
1380,Kevin Lasagna,Hellas Verona,5,2,30,17,1,3.15,0.03,8.79,59.6,4.27,0.4,50.0,0.16,0.65,2.18,0.24,0.24,0.97,0.89,0.73,15.3,0.89,4.03,21.7,1.0
1382,Latasa,Getafe,5,4,21,10,0,6.67,0.0,16.7,58.8,7.5,0.83,50.0,0.0,2.5,2.5,0.0,0.83,2.5,1.67,3.33,25.0,0.0,2.5,53.6,1.0
1383,Toni Lato,Valencia,5,4,25,14,1,1.15,0.14,39.5,83.1,19.5,2.46,48.4,0.0,3.61,3.93,0.49,0.66,2.3,1.15,1.48,31.6,0.16,4.43,16.7,1.0
1384,Danny Latza,Schalke 04,5,3,33,12,0,1.63,0.0,35.1,79.3,15.5,2.24,55.0,0.0,2.45,1.63,0.0,1.63,2.04,2.04,1.43,25.3,0.2,8.57,37.5,1.0
1385,Armand Lauriente,Sassuolo,5,2,24,15,4,2.65,0.08,24.3,72.6,13.8,1.84,43.9,0.22,1.69,4.56,0.44,0.44,1.03,0.74,0.44,31.0,2.13,3.46,20.0,1.0
1387,Rom o Lavia,Southampton,4,5,19,13,1,0.51,0.2,32.8,86.7,13.9,3.23,82.1,0.0,4.55,1.31,0.0,1.21,4.04,2.12,0.51,30.6,0.0,8.28,57.1,1.0
1388,L zaro,Almer a,5,4,20,9,1,1.07,0.33,26.8,77.3,16.1,2.5,63.6,0.0,5.0,2.5,0.0,0.0,0.71,2.14,0.36,28.9,0.0,4.64,0.0,1.0
1389,Valentino Lazaro,Torino,3,2,26,15,0,0.59,0.0,44.4,75.4,22.3,4.07,48.5,0.17,3.14,3.56,0.25,0.42,1.02,0.93,1.53,32.3,0.68,6.19,50.0,1.0
1392,Manuel Lazzari,Lazio,5,2,29,18,0,0.22,0.0,48.7,88.2,29.0,1.78,72.7,0.0,2.0,1.41,0.15,1.19,2.89,1.04,1.56,35.0,0.74,4.22,33.3,1.0
1393,Th o Le Bris,Lorient,5,1,20,16,2,0.85,0.22,27.8,79.7,17.5,0.75,42.1,0.09,1.79,1.13,0.28,1.23,3.02,1.42,1.42,31.6,1.23,4.53,50.0,1.0
1395,J r my Le Douaron,Brest,5,1,24,17,5,2.83,0.17,10.9,67.4,6.7,0.47,55.6,0.09,0.57,1.89,0.19,0.57,1.23,1.23,1.32,20.8,0.66,2.64,47.2,1.0
1396,Enzo Le F e,Lorient,5,1,23,22,4,1.36,0.14,48.2,79.6,20.7,5.93,59.9,0.23,5.93,4.02,0.47,2.15,4.39,1.4,1.36,54.5,0.47,7.38,32.1,1.0
1397,Vincent Le Goff,Lorient,5,1,33,22,0,0.45,0.0,42.2,82.2,21.5,2.45,49.5,0.0,3.59,1.18,0.09,1.0,3.32,0.73,3.14,37.5,0.18,5.73,47.2,1.0
1398,Maxime Le Marchand,Strasbourg,5,1,33,18,0,0.42,0.0,47.2,79.4,18.6,5.83,51.5,0.0,4.86,0.9,0.21,1.39,4.03,1.04,3.54,48.2,0.0,7.15,69.1,1.0
1399,Robin Le Normand,Real Sociedad,5,4,26,17,0,0.2,0.0,47.3,90.2,14.8,5.03,75.2,0.0,2.72,0.6,0.07,0.73,2.25,1.06,3.31,36.6,0.0,4.11,72.4,1.0
1400,Rafael Le o,Milan,5,2,23,21,8,3.55,0.13,20.5,72.5,9.23,2.54,67.2,0.3,2.54,4.14,0.47,0.06,0.59,0.12,0.24,26.8,2.72,3.2,52.6,1.0
1405,Pierre Lees-Melou,Brest,5,1,29,17,3,1.59,0.12,38.0,83.3,14.6,6.75,69.3,0.06,4.78,1.72,0.13,1.72,4.65,1.46,1.46,41.5,0.38,8.15,62.5,1.0
1406,Diogo Leite,Union Berlin,5,3,24,17,0,0.43,0.0,43.9,78.8,13.2,6.48,60.3,0.06,4.14,0.93,0.12,0.8,2.59,0.99,3.64,36.3,0.0,5.86,51.9,1.0
1407,Maxim Leitsch,Mainz 05,5,3,24,9,0,0.27,0.0,33.6,75.9,14.2,3.65,54.0,0.0,2.16,0.68,0.14,0.95,3.65,0.95,3.51,27.4,0.14,4.73,58.1,1.0
1408,Florian Lejeune,Rayo Vallecano,5,4,31,18,3,1.52,0.12,38.5,79.5,8.61,7.33,56.3,0.0,3.88,0.61,0.06,0.61,1.7,0.91,4.36,33.6,0.0,4.42,64.8,1.0
1409,I igo Lekue,Athletic Club,5,4,29,16,0,0.7,0.0,44.1,77.5,21.7,2.89,51.4,0.08,3.91,1.88,0.23,1.02,2.5,0.94,2.19,36.8,0.47,8.28,66.7,1.0
1410,Thomas Lemar,Atl tico Madrid,5,4,27,15,0,0.81,0.0,49.9,83.5,28.6,4.19,60.8,0.27,5.27,3.24,0.54,0.95,2.43,0.95,0.81,44.9,0.27,6.62,33.3,1.0
1415,Tim Lemperle,K ln,5,3,21,6,0,1.11,0.0,21.1,57.6,14.4,0.0,0.0,0.0,2.22,4.44,0.0,3.33,6.67,2.22,4.44,33.3,2.22,11.1,0.0,1.0
1416,Cl ment Lenglet,Tottenham,5,5,27,13,0,0.67,0.0,60.8,87.8,22.0,5.67,59.0,0.19,3.94,1.06,0.29,0.77,2.6,1.44,2.6,55.9,0.0,4.62,67.6,1.0
1418,Christopher Lenz,Eint Frankfurt,5,3,28,12,0,1.03,0.0,39.1,74.1,18.7,5.15,49.3,0.29,3.24,2.65,0.44,1.91,3.82,1.32,2.5,29.1,0.15,6.47,42.9,1.0
1419,Sergio Le n,Valladolid,5,4,34,17,5,1.88,0.21,8.42,66.9,4.46,0.59,50.0,0.1,0.2,1.58,0.3,0.3,0.4,0.4,0.3,13.9,0.4,2.48,35.0,1.0
1420,Johann Lepenant,Lyon,5,1,20,17,1,1.13,0.07,56.4,88.5,23.5,4.29,83.8,0.08,5.86,1.65,0.15,1.65,4.29,1.65,0.83,59.7,0.08,8.65,48.3,1.0
1421,Mehdi L ris,Sampdoria,3,2,24,19,0,0.99,0.0,23.2,66.4,13.5,1.79,46.6,0.07,1.59,1.59,0.13,1.85,3.51,1.52,0.86,27.4,0.33,5.83,63.8,1.0
1422,Jefferson Lerma,Bournemouth,4,5,28,22,2,0.73,0.13,35.3,81.7,17.1,1.96,46.2,0.0,3.11,1.28,0.0,0.78,2.56,0.78,3.15,24.8,0.05,6.94,62.7,1.0
1424,L o Leroy,Montpellier,5,1,22,16,0,1.27,0.0,30.6,74.2,16.7,2.28,52.9,0.0,2.91,2.28,0.63,3.29,5.7,2.28,0.51,37.1,0.25,8.1,58.3,1.0
1426,Robert Lewandowski,Barcelona,1,4,34,17,14,4.32,0.22,19.3,76.5,11.6,0.88,68.4,0.27,1.69,3.45,0.54,0.34,0.61,0.68,0.27,24.9,0.54,1.82,51.2,1.0
1427,Jamie Leweling,Union Berlin,5,3,21,9,1,4.29,0.17,12.1,70.8,5.0,2.14,100.0,0.71,0.0,5.0,1.43,2.14,2.86,0.71,0.0,29.3,0.71,7.86,20.0,1.0
1429,Rico Lewis,Manchester City,5,5,18,9,0,0.2,0.0,63.6,91.9,39.0,1.8,69.2,0.0,3.2,2.2,0.0,1.4,2.4,0.4,1.4,54.0,0.6,3.6,0.0,1.0
1430,Keane Lewis-Potter,Brentford,5,5,21,9,0,2.06,0.0,11.8,57.1,7.65,0.29,12.5,0.29,0.0,2.35,0.59,0.0,0.29,1.47,0.59,24.4,0.88,5.29,33.3,1.0
1431,Dimitri Li nard,Strasbourg,5,1,34,17,0,1.03,0.0,43.6,75.1,19.2,5.42,43.6,0.0,2.71,2.71,0.09,1.31,3.18,1.5,1.87,42.9,0.19,6.92,57.1,1.0
1432,Philipp Lienhart,Freiburg,3,3,26,20,1,0.52,0.1,52.7,86.1,12.0,7.88,65.8,0.0,2.64,0.73,0.1,0.67,2.28,1.09,3.47,43.9,0.1,5.96,64.6,1.0
1433,Matthijs de Ligt,Bayern Munich,5,3,23,17,1,0.67,0.11,73.0,91.8,22.0,5.7,77.0,0.0,5.78,0.89,0.0,0.59,1.93,1.26,4.0,62.9,0.0,6.74,58.1,1.0
1434,Victor Lindel f,Manchester Utd,2,5,28,8,0,0.0,0.0,58.4,92.4,20.8,3.8,63.3,0.0,3.4,0.0,0.0,0.6,2.0,1.0,4.0,45.0,0.0,5.2,70.6,1.0
1435,Jesper Lindstr m,Eint Frankfurt,4,3,22,18,7,2.54,0.21,16.8,62.5,10.1,0.75,32.3,0.15,0.75,3.28,0.67,0.6,1.79,1.04,0.6,23.0,2.31,5.07,26.1,1.0
1436,Karol Linetty,Torino,1,2,28,21,1,0.8,0.09,37.2,85.2,17.8,2.68,75.5,0.0,3.62,1.96,0.0,1.09,2.97,1.16,1.3,27.1,0.22,5.87,48.3,1.0
1437,Jesse Lingard,Nott'ham Forest,5,5,30,14,0,1.04,0.0,22.0,79.3,11.3,1.15,45.8,0.0,2.71,2.5,0.21,0.31,0.73,1.04,0.42,19.9,0.0,3.85,33.3,1.0
1438,Pol Lirola,Elche,5,4,25,8,1,0.16,1.0,33.8,72.0,18.4,2.3,40.0,0.0,1.64,2.95,0.0,0.98,2.95,0.16,1.97,31.6,0.16,6.56,57.1,1.0
1441,Dejan Ljubicic,K ln,3,3,25,13,3,2.12,0.17,23.1,73.1,12.2,2.47,63.6,0.0,2.0,3.53,0.47,1.06,2.35,1.06,0.12,23.5,0.59,5.88,20.0,1.0
1443,Diego Llorente,Leeds United,5,5,29,8,0,0.83,0.0,49.4,83.0,16.4,4.58,55.9,0.0,2.36,0.83,0.14,1.39,3.89,0.83,3.33,42.1,0.0,7.92,72.0,1.0
1445,Marcos Llorente,Atl tico Madrid,5,4,28,13,1,1.06,0.08,33.3,79.2,17.9,2.04,57.5,0.0,2.3,3.19,0.09,0.97,2.92,1.24,0.97,29.3,0.88,4.96,40.0,1.0
1447,Giovani Lo Celso,Villarreal,5,4,26,8,1,2.24,0.08,38.3,83.1,20.3,2.93,77.3,0.0,3.1,2.59,0.0,2.93,4.48,1.03,0.52,34.8,0.52,4.48,33.3,1.0
1448,Stanislav Lobotka,Napoli,2,2,28,21,1,0.26,0.2,63.1,94.2,31.6,5.1,86.1,0.05,6.29,2.22,0.26,1.24,2.94,0.88,0.52,47.9,0.21,7.11,42.1,1.0
1449,Manuel Locatelli,Juventus,5,2,25,18,0,1.03,0.0,41.9,81.3,18.6,5.71,66.9,0.0,5.38,2.05,0.32,1.22,3.33,1.67,1.73,29.7,0.19,6.41,63.2,1.0
1451,Banzouzi Locko,Reims,5,1,20,15,0,0.42,0.0,30.7,77.0,16.9,1.78,55.3,0.0,3.73,1.78,0.0,1.36,4.41,1.44,1.78,31.7,0.25,6.53,60.0,1.0
1452,Renan Lodi,Nott'ham Forest,5,5,24,14,0,0.74,0.0,30.2,70.4,13.9,2.87,38.5,0.0,1.31,1.56,0.08,1.31,3.52,1.07,3.03,27.5,0.08,6.48,45.8,1.0
1453,Ruben Loftus-Cheek,Chelsea,5,5,27,15,0,0.78,0.0,45.5,85.2,26.3,2.17,80.6,0.0,4.96,1.91,0.17,0.78,2.26,0.78,1.48,36.0,0.61,6.0,48.7,1.0
1454,Sean Longstaff,Newcastle Utd,5,5,25,22,1,1.07,0.05,33.4,78.7,16.1,3.16,59.0,0.16,3.1,2.35,0.21,0.86,2.09,1.5,0.96,25.9,0.16,5.45,45.9,1.0
1455,Ademola Lookman,Atalanta,3,2,25,21,12,2.64,0.24,25.4,76.1,13.9,1.46,56.8,0.28,1.6,4.65,0.69,0.21,0.76,0.9,0.0,29.2,1.74,4.86,25.0,1.0
1457,Rony Lopes,Troyes,5,1,27,18,4,2.68,0.11,23.0,69.3,10.9,3.04,51.9,0.36,2.46,4.35,0.51,0.29,0.8,0.51,0.22,31.6,0.36,5.0,47.1,1.0
1458,David L pez,Girona,5,4,33,11,2,0.77,0.25,54.4,90.3,19.6,4.13,63.2,0.1,3.65,0.67,0.1,0.96,1.92,1.35,3.75,42.5,0.0,5.19,57.1,1.0
1460,Maxime Lopez,Sassuolo,5,2,25,14,0,0.48,0.0,53.6,87.3,24.8,5.73,76.3,0.0,7.34,2.66,0.16,0.73,2.82,0.89,0.89,43.8,0.08,7.02,60.0,1.0
1462,Unai L pez,Rayo Vallecano,5,4,27,19,1,1.82,0.06,52.7,80.1,21.7,8.98,66.4,0.23,6.93,3.07,0.34,1.36,3.52,0.8,0.45,47.4,0.23,7.27,27.3,1.0
1463,Dion Lopy,Reims,3,1,21,17,0,0.74,0.0,35.1,83.5,13.8,4.44,73.5,0.0,5.31,2.59,0.37,1.23,4.2,2.35,1.73,39.1,0.12,7.78,69.2,1.0
1464,Anthony Losilla,Bochum,5,3,36,20,0,0.66,0.0,23.5,68.9,10.7,2.03,50.0,0.1,1.93,1.42,0.15,1.68,3.71,1.02,1.88,14.4,0.05,6.6,49.1,1.0
1465,Jordan Lotomba,Nice,3,1,24,22,0,0.38,0.0,41.7,82.8,25.4,1.54,54.9,0.05,2.69,1.7,0.11,1.32,3.41,1.65,1.92,39.9,0.27,4.4,55.2,1.0
1466,Matteo Lovato,Salernitana,5,2,22,7,0,0.24,0.0,36.4,85.0,13.3,3.57,68.2,0.0,1.67,0.0,0.0,1.67,3.33,1.19,3.81,30.7,0.0,4.76,60.0,1.0
1471,Hirving Lozano,Napoli,3,2,27,20,3,2.75,0.07,23.1,74.3,12.8,1.47,53.3,0.28,1.38,3.39,0.64,0.55,1.38,1.65,0.46,30.7,1.01,3.3,40.0,1.0
1473,Jean Lucas,Monaco,5,1,24,6,0,1.56,0.0,41.9,87.0,18.8,5.31,77.3,0.0,5.94,1.56,0.0,1.56,4.06,0.63,0.63,45.9,0.31,7.19,12.5,1.0
1474,Jhon Lucum ,Bologna,4,2,24,18,0,0.35,0.0,46.6,86.1,19.0,5.87,67.8,0.06,2.97,0.7,0.12,1.4,3.37,1.22,3.72,35.3,0.12,6.45,64.3,1.0
1475,Jos  Luis Gay ,Valencia,5,4,27,17,1,0.79,0.08,48.1,75.8,24.4,5.33,47.1,0.12,3.82,3.64,0.3,1.52,3.39,1.09,1.58,36.4,0.18,5.09,66.7,1.0
1476,Jos  Luis Morales,Villarreal,5,4,35,19,1,2.58,0.06,13.2,64.0,8.33,0.76,83.3,0.0,0.45,2.27,0.3,0.3,0.76,1.36,0.3,16.7,1.67,2.42,42.9,1.0
1477,Jos  Luis Palomino,Atalanta,5,2,33,6,1,0.68,0.33,48.9,80.5,18.0,4.77,61.8,0.0,2.27,0.91,0.23,0.68,5.91,0.68,2.95,35.2,0.23,8.86,59.1,1.0
1478,Douglas Luiz,Aston Villa,5,5,24,20,2,1.07,0.12,48.7,82.6,20.9,5.16,58.2,0.25,3.27,3.21,0.31,1.26,3.71,1.38,0.63,36.7,0.13,6.73,53.1,1.0
1479,Romelu Lukaku,Inter,4,2,29,9,1,2.05,0.11,12.0,62.4,7.27,0.23,25.0,0.23,0.23,2.27,0.68,0.0,0.23,0.0,0.45,15.9,0.23,1.36,46.2,1.0
1480,Castello Lukeba,Lyon,5,1,20,19,1,0.27,0.2,62.3,89.5,22.8,3.9,64.5,0.0,4.29,0.66,0.11,0.44,2.47,1.32,2.14,63.8,0.05,6.7,48.8,1.0
1481,Dodi Lukebakio,Hertha BSC,4,3,25,18,7,2.36,0.13,16.2,67.4,9.15,1.94,58.2,0.06,0.61,2.91,0.18,0.42,1.21,1.03,0.67,24.4,1.82,4.61,35.7,1.0
1486,Sebastiano Luperto,Empoli,5,2,26,20,1,0.32,0.17,42.3,87.0,14.1,4.16,56.0,0.0,1.84,0.58,0.11,0.47,2.05,1.42,4.58,31.6,0.05,5.26,48.4,1.0
1487,Lyanco,Southampton,5,5,26,13,0,1.04,0.0,31.3,70.9,12.3,3.25,37.9,0.0,2.6,0.78,0.0,1.3,3.51,1.3,3.51,29.4,0.13,7.66,66.7,1.0
1488,Charalambos Lykogiannis,Bologna,2,2,29,16,1,1.62,0.06,38.8,69.6,18.6,3.13,36.5,0.0,3.54,2.32,0.1,0.51,2.53,0.61,2.73,35.1,0.0,4.75,51.9,1.0
1491,Alexis Mac Allister,Brighton,5,5,24,18,5,2.03,0.06,51.1,88.4,25.1,3.37,72.5,0.0,4.88,2.5,0.23,1.63,3.95,0.81,0.29,39.0,0.06,7.97,70.6,1.0
1492,Deiver Machado,Lens,4,1,29,19,1,0.65,0.1,29.3,81.8,15.4,1.96,63.8,0.07,1.24,1.57,0.26,1.37,3.27,0.85,1.18,29.6,0.46,4.71,30.8,1.0
1494,James Maddison,Leicester City,5,5,26,16,9,3.19,0.2,35.3,77.0,16.7,3.55,50.5,0.35,5.04,4.61,0.5,0.78,2.48,0.57,0.35,37.6,0.99,3.12,22.2,1.0
1496,Pablo Maffeo,Mallorca,5,4,25,19,1,0.58,0.1,27.3,70.3,13.2,2.83,41.5,0.12,1.79,1.73,0.17,1.39,2.89,1.04,2.25,24.6,0.4,4.39,50.0,1.0
1499,Giulio Maggiore,Salernitana,5,2,24,10,0,0.55,0.0,37.4,76.3,16.6,3.84,56.0,0.0,4.11,1.92,0.14,0.82,3.01,2.33,0.55,30.5,0.0,8.08,40.0,1.0
1500,Giangiacomo Magnani,Hellas Verona,5,2,27,9,0,0.85,0.0,17.4,68.9,4.89,3.19,50.0,0.0,1.49,0.85,0.0,1.49,4.68,2.13,5.32,14.5,0.0,5.11,56.5,1.0
1501,Hugo Magnetti,Brest,5,1,24,18,0,1.04,0.0,33.8,82.3,14.5,4.25,72.6,0.09,3.49,2.08,0.28,1.7,4.34,0.75,0.66,33.8,0.0,7.45,40.0,1.0
1502,Yohann Magnin,Clermont Foot,5,1,25,23,0,0.54,0.0,41.0,83.7,19.1,3.41,65.6,0.0,3.46,2.05,0.16,1.95,4.27,1.89,2.11,41.6,0.11,5.41,40.5,1.0
1503,Harry Maguire,Manchester Utd,5,5,29,9,0,0.23,0.0,50.0,87.8,17.7,6.74,70.7,0.0,4.42,0.47,0.0,0.7,2.56,3.02,4.88,38.8,0.0,5.35,52.9,1.0
1505,Riyad Mahrez,Manchester City,3,5,31,16,4,2.4,0.17,47.9,84.3,25.7,4.7,66.2,0.3,2.2,5.7,1.1,0.5,1.5,1.2,0.2,45.0,1.9,4.1,27.3,1.0
1506,Arne Maier,Augsburg,5,3,24,16,1,1.36,0.07,23.4,68.7,11.9,2.23,51.1,0.0,2.14,2.43,0.1,0.87,2.04,1.26,0.78,21.5,0.68,5.44,35.7,1.0
1508,Linton Maina,K ln,5,3,23,18,2,1.89,0.09,17.3,68.1,9.59,1.15,43.8,0.41,1.48,3.03,0.49,0.66,1.23,0.49,0.49,22.1,1.56,4.26,8.3,1.0
1509,Ainsley Maitland-Niles,Southampton,5,5,25,11,0,0.0,0.0,34.6,81.5,16.9,3.43,63.2,0.0,4.0,1.71,0.0,1.57,4.0,1.71,2.43,22.0,0.14,5.71,53.8,1.0
1510,Lovro Majer,Rennes,4,1,25,17,1,1.8,0.0,43.9,79.5,19.3,4.38,61.9,0.22,4.83,3.82,0.34,0.79,3.6,1.12,0.45,52.1,0.22,7.53,33.3,1.0
1511,Jean-Victor Makengo,Udinese,5,2,24,16,0,0.79,0.0,29.7,83.5,18.8,1.01,69.2,0.11,2.13,1.46,0.11,1.46,2.81,0.9,0.34,29.0,0.0,4.38,83.3,1.0
1515,Tyrell Malacia,Manchester Utd,5,5,23,13,0,0.32,0.0,39.5,83.0,26.3,1.81,48.6,0.0,2.55,0.43,0.0,1.81,4.26,0.96,3.62,28.1,0.11,5.53,62.5,1.0
1517,Daniel Maldini,Spezia,5,2,21,9,1,1.94,0.14,21.1,72.4,11.7,1.11,40.0,0.0,1.67,2.78,0.0,0.56,2.22,1.11,1.67,22.2,0.56,4.44,33.3,1.0
1518,Youssef Maleh,Fiorentina,5,2,24,7,0,2.12,0.0,28.8,81.9,16.7,2.12,58.3,0.0,2.42,2.12,0.0,0.3,1.21,1.52,0.91,28.2,0.3,6.06,42.9,1.0
1520,Donyell Malen,Dortmund,5,3,24,13,0,2.64,0.0,23.0,72.8,12.9,1.65,45.5,0.11,1.65,3.74,0.44,0.22,0.99,0.99,0.55,30.9,1.65,2.97,45.5,1.0
1521,Ruslan Malinovskyi,Atalanta,2,2,29,15,1,3.11,0.05,40.7,74.7,17.4,6.39,60.9,0.33,5.9,4.26,0.33,1.31,3.11,1.31,0.33,45.6,0.49,9.34,41.7,1.0
1523,Hugo Mallo,Celta Vigo,5,4,31,15,0,0.9,0.0,42.0,77.0,21.0,2.61,48.6,0.0,2.76,2.01,0.22,0.97,2.76,1.04,2.61,32.2,0.07,4.4,62.8,1.0
1527,Gianluca Mancini,Roma,5,2,26,22,0,0.64,0.0,42.4,81.7,15.7,5.45,54.5,0.05,3.12,1.19,0.1,0.69,3.17,0.99,2.13,36.2,0.0,3.51,65.0,1.0
1530,A ssa Mandi,Villarreal,3,4,31,9,0,0.2,0.0,56.9,90.3,20.0,5.71,82.4,0.0,2.86,0.61,0.41,1.02,3.67,1.22,3.47,41.0,0.0,3.88,50.0,1.0
1531,Rolando Mandragora,Fiorentina,5,2,25,15,1,2.16,0.05,39.7,82.3,14.9,4.9,69.4,0.1,5.69,4.02,0.1,1.18,3.04,0.98,1.47,32.2,0.29,5.29,51.7,1.0
1532,Sadio Man ,Bayern Munich,3,3,30,14,6,3.86,0.13,20.2,72.6,12.3,1.09,64.7,0.3,0.99,4.36,0.89,0.3,0.5,0.99,0.2,28.0,2.57,2.67,52.6,1.0
1533,Orel Mangala,Nott'ham Forest,4,5,24,14,0,0.78,0.0,28.8,80.4,15.2,1.56,48.0,0.0,2.34,1.17,0.0,0.91,2.99,1.04,0.52,24.5,0.26,5.45,60.0,1.0
1534,Thomas Mangani,Ajaccio,5,1,35,18,1,0.61,0.0,45.1,67.8,16.4,8.28,50.0,0.1,6.46,3.64,0.1,1.21,4.04,1.31,1.41,45.5,0.1,7.47,60.6,1.0
1539,Faitout Maouassa,Montpellier,5,1,24,20,1,1.14,0.07,24.2,68.5,14.1,2.35,40.3,0.3,1.44,2.2,0.38,1.59,3.41,1.67,1.44,28.0,0.45,4.24,50.0,1.0
1540,Sekou Mara,Southampton,5,5,20,14,0,3.89,0.0,11.1,71.4,6.39,0.83,60.0,0.28,1.67,2.22,0.56,1.67,2.78,1.11,0.56,20.8,0.0,4.17,40.5,1.0
1541,Maranh o,Valencia,5,4,26,15,1,3.54,0.06,8.33,67.8,4.17,0.21,33.3,0.0,0.83,2.08,0.0,0.21,0.83,0.83,0.0,15.4,0.0,1.88,43.5,1.0
1543,Solly March,Brighton,5,5,28,21,5,2.34,0.11,31.0,72.7,14.4,3.58,52.6,0.2,2.04,3.93,0.35,0.85,2.39,1.24,1.04,33.1,1.54,4.08,42.6,1.0
1545,Vincent Marchetti,Ajaccio,5,1,25,21,0,1.41,0.0,32.9,80.1,14.6,3.97,65.8,0.05,4.4,2.07,0.38,1.14,2.99,0.65,0.76,38.8,0.27,6.85,16.7,1.0
1547,Gian Marco Ferrari,Sassuolo,5,2,30,19,1,0.29,0.2,41.4,85.0,12.1,6.18,66.9,0.0,2.47,0.71,0.12,0.76,2.0,1.0,3.65,30.9,0.0,3.82,66.7,1.0
1549, scar de Marcos,Athletic Club,5,4,33,21,0,0.06,0.0,47.1,77.8,24.3,3.5,51.6,0.22,5.17,2.78,0.28,0.89,2.78,1.33,1.67,36.8,0.11,5.89,58.3,1.0
1550,Jos  Mari,C diz,5,4,35,12,0,0.56,0.0,34.7,82.2,11.1,8.06,74.4,0.0,7.22,3.06,0.0,1.94,5.0,0.56,1.67,27.5,0.0,8.61,37.5,1.0
1551,Pablo Mar ,Monza,5,2,29,14,1,0.4,0.2,44.7,86.3,13.1,5.87,68.5,0.0,3.1,0.32,0.0,0.71,2.54,0.32,3.57,31.7,0.0,5.0,68.8,1.0
1552,Jos  Mar a Gim nez,Atl tico Madrid,4,4,28,12,0,1.25,0.0,41.9,86.1,14.2,5.18,66.7,0.0,2.59,0.8,0.09,0.89,2.95,1.43,4.64,31.3,0.0,6.25,64.9,1.0
