,Nation_Ranking,League_Ranking,Age,MP,TotGoals,Shots,G/Sh,CompPass,CompPass%,ShoPass,LongPass,LongPass%,Assists,Pas3rd,SCA,GCA,TklWon,TklInt,Blocks,Clearence,Carries,CPA,Recov,AerWon%,MV
1277,4,4,22,10,2,0.32,1.0,21.1,65.5,10.8,1.75,37.9,0.0,1.9,0.63,0.16,1.43,3.65,0.95,2.7,16.8,0.0,3.81,50.0,3.0
1278,5,1,29,6,0,0.44,0.0,33.8,86.9,10.7,2.67,52.2,0.0,0.67,0.67,0.0,1.33,3.78,1.33,4.0,34.7,0.0,5.33,54.5,3.0
1279,5,3,26,20,1,0.75,0.07,49.7,79.8,15.3,5.48,54.2,0.0,3.22,1.16,0.05,1.01,2.91,1.31,3.57,40.2,0.05,7.49,52.9,3.0
1280,5,2,25,13,0,1.73,0.0,44.2,82.3,22.5,4.2,60.7,0.0,6.17,3.09,0.37,1.73,5.31,1.73,1.36,31.4,0.0,7.65,33.3,3.0
1281,5,2,28,20,1,0.33,0.17,37.6,72.0,17.0,3.59,51.2,0.11,2.43,2.15,0.22,0.39,0.88,0.72,1.71,30.9,0.17,4.64,53.1,3.0
1282,5,4,25,10,1,0.93,0.25,27.2,66.9,16.3,1.4,30.0,0.23,0.47,3.49,0.93,0.23,1.16,0.23,0.23,39.3,0.93,3.95,100.0,3.0
1283,5,1,32,7,0,1.05,0.0,31.3,71.3,13.4,4.47,47.2,0.26,4.74,3.16,0.26,1.58,3.95,1.58,0.0,38.7,0.0,5.79,33.3,3.0
1284,5,4,31,13,0,0.27,0.0,23.7,80.1,11.4,1.51,55.0,0.0,3.15,0.55,0.0,0.68,2.33,2.05,2.47,17.3,0.0,3.97,55.6,3.0
1285,5,3,23,15,0,0.69,0.0,25.4,71.4,8.62,3.53,37.6,0.0,1.9,0.95,0.09,0.86,3.02,0.95,3.88,22.1,0.0,5.6,61.4,3.0
1286,3,1,30,12,5,2.18,0.05,25.9,72.1,12.5,3.33,54.7,0.34,2.76,3.79,1.03,1.03,1.84,0.92,0.46,36.8,1.84,4.71,41.7,3.0
1287,5,3,31,16,0,0.24,0.0,38.1,77.6,14.6,6.38,58.7,0.0,2.99,0.79,0.08,0.94,3.46,1.57,4.33,32.0,0.0,7.87,58.3,3.0
1288,5,1,24,19,1,1.19,0.05,37.6,75.3,16.1,4.35,48.7,0.28,3.73,3.56,0.4,0.96,2.94,0.85,0.96,44.2,0.4,6.38,38.9,3.0
1289,2,2,23,10,0,0.53,0.0,41.1,87.2,24.2,1.84,63.6,0.0,3.16,1.84,0.0,2.11,5.79,2.11,1.32,31.3,0.0,8.68,25.0,3.0
1290,5,2,26,7,0,0.43,0.0,46.7,85.7,13.9,8.91,71.9,0.0,3.04,0.65,0.0,0.87,2.61,1.3,4.57,38.0,0.0,6.09,9.1,3.0
1291,5,1,26,20,2,0.84,0.13,36.2,77.3,17.9,1.84,55.6,0.0,1.89,2.58,0.0,1.58,4.11,1.32,2.11,37.3,0.21,5.47,62.5,3.0
1292,3,1,22,15,3,1.8,0.33,29.8,74.1,17.2,1.4,38.9,0.4,1.2,3.0,0.4,0.2,1.2,0.6,0.0,41.6,1.0,3.4,33.3,3.0
1293,5,4,23,11,1,0.25,0.5,40.0,84.7,16.6,2.0,38.1,0.0,2.25,0.38,0.0,0.88,2.63,1.0,3.75,30.5,0.13,5.13,62.5,3.0
1294,5,3,21,13,1,1.33,0.25,32.3,68.3,13.0,5.67,48.6,0.0,3.67,1.33,0.0,2.0,4.67,1.0,3.33,33.0,0.0,5.67,62.5,3.0
1295,5,3,29,20,3,1.99,0.03,16.9,60.3,10.1,1.14,38.8,0.0,1.63,3.19,0.12,0.3,1.2,0.96,0.6,23.0,0.84,4.34,42.4,3.0
1296,5,1,28,11,0,0.88,0.0,45.8,75.4,21.6,5.61,47.1,0.18,3.33,5.44,0.18,2.11,4.21,0.88,2.11,49.5,1.4,8.77,50.0,3.0
1297,5,3,35,11,1,1.72,0.2,29.3,64.9,12.8,3.45,41.7,0.0,2.76,2.41,0.34,1.72,3.79,0.69,0.69,24.1,0.34,8.97,28.6,3.0
1298,5,2,22,16,2,2.93,0.12,26.2,75.6,16.0,1.72,76.9,0.17,1.72,4.31,0.69,1.9,3.28,1.55,0.86,35.0,1.72,4.66,20.0,3.0
1299,5,4,22,20,5,2.58,0.12,13.6,80.7,7.48,0.63,71.4,0.19,0.25,2.08,0.25,0.44,0.69,0.31,0.94,16.5,0.63,2.14,40.0,3.0
1300,5,2,35,20,2,1.28,0.09,40.4,72.1,20.0,4.36,42.6,0.06,4.02,2.85,0.28,0.11,1.34,0.28,1.4,35.8,0.22,4.53,0.0,3.0
1301,5,1,25,10,0,1.54,0.0,13.1,58.6,8.08,0.38,25.0,0.0,0.77,1.15,0.0,0.0,1.54,1.15,0.77,21.5,0.77,2.69,37.5,3.0
1302,5,5,28,15,0,0.71,0.0,53.9,84.5,29.4,3.54,70.2,0.0,4.6,1.5,0.0,0.88,3.54,1.77,2.04,38.8,0.27,6.9,48.0,3.0
1303,5,1,20,20,4,1.91,0.14,25.6,71.1,13.8,1.71,44.8,0.26,2.63,2.17,0.26,0.59,1.97,1.45,0.86,35.5,0.92,4.14,38.9,3.0
1304,5,1,31,20,2,1.07,0.13,36.0,82.2,17.3,3.33,61.0,0.13,3.13,1.73,0.2,1.67,4.2,1.0,0.67,37.7,0.2,5.47,60.0,3.0
